flight_id,rmse,aircraft_type
prc771996052,349.97271811907495,A321
prc772001378,43.76574533771917,A320
prc772005352,76.3223636346574,A20N
prc772007569,25.53404406950562,A320
prc772008758,54.11113351141427,A320
prc772026486,82.239811267547,A320
prc772040423,99.87240777762194,A321
prc772047334,181.2693519433461,B77W
prc772052853,465.74818055662405,A359
prc772061062,71.92458053284462,A20N
prc772064689,346.45548962053067,B789
prc772068392,346.5545108025848,A320
prc772075078,227.80204550735854,B789
prc772077578,46.47323361322309,A20N
prc772085852,188.1520871855305,A20N
prc772086302,50.6288601014062,A20N
prc772106252,137.44532324207057,A359
prc772113661,289.37421654516066,A332
prc772115147,176.00354626094366,A333
prc772116771,75.74757924229179,A320
prc772117485,40.85353311250466,A320
prc772121378,45.57918345475798,A20N
prc772132106,39.72906088641755,A321
prc772143028,37.52570334555694,A320
prc772152848,24.973442858251772,A20N
prc772161345,184.42994581584742,A321
prc772163036,56.28260623650795,A20N
prc772168444,23.17499045789489,A20N
prc772211962,91.04638149075022,A21N
prc772214570,137.76367888443988,A320
prc772217299,31.321325840615543,A320
prc772222364,179.18308117950943,B789
prc772237622,76.21467653453182,A320
prc772242527,340.7499328359193,B788
prc772248359,76.00816497317311,A20N
prc772248969,115.45249084203938,B788
prc772260148,351.7289572122148,B77W
prc772265099,187.68406771242357,A21N
prc772268529,79.03797721783799,B788
prc772284223,68.89735435992438,A320
prc772292427,251.55984647691602,A359
prc772329883,269.9581725848449,A332
prc772331343,72.69757950711877,A320
prc772343042,146.86320400946582,B788
prc772353548,104.25036460936659,A20N
prc772357054,145.26646710613727,A359
prc772368415,176.3611630282771,A359
prc772369375,52.44881018625171,A320
prc772378200,59.15618569483918,A320
prc772393131,129.375539899263,A321
prc772406491,62.395143190540175,A320
prc772409428,90.91334130384915,B788
prc772416873,32.074414755914425,A20N
prc772417688,122.80370700242787,A321
prc772421273,54.34804225144164,A20N
prc772427307,67.56513508698762,A320
prc772427936,95.25757816239931,A359
prc772453714,79.91195035687862,A320
prc772475643,280.8705218137393,A321
prc772482891,81.80928497194198,A359
prc772483243,69.86084841657586,A20N
prc772496123,130.82620759823328,A320
prc772497991,110.97554194284209,A320
prc772502601,56.85487979194302,A20N
prc772512498,61.772887101067994,A320
prc772530166,91.83627706874687,B789
prc772535011,80.447072221666,A359
prc772546696,119.53685350459125,A332
prc772559640,49.174694147991744,A320
prc772560389,47.840973299428725,A320
prc772573305,64.87497607151434,A320
prc772576296,77.0221678065514,A20N
prc772578814,198.58127426344532,A332
prc772579614,26.48998590198958,A20N
prc772587212,314.06602620613245,B789
prc772591251,2.8961074476459023,A320
prc772593658,38.05400008091047,B788
prc772602043,30.248901565682356,A320
prc772608421,40.94884800873538,A320
prc772611754,9.274466946486783,A20N
prc772614941,86.99193945770197,B788
prc772616190,56.252698342851865,A20N
prc772618789,46.45218507681417,B738
prc772621380,124.63372829375895,B788
prc772632915,45.02049160833393,A21N
prc772635672,315.90697840968323,A359
prc772640967,184.5557746431259,A332
prc772658834,103.43068328161844,A320
prc772661091,136.5824504691333,A359
prc772662808,35.93455135469346,A320
prc772664457,114.88933577509209,A321
prc772665333,50.980493174447794,A20N
prc772669645,140.80853366305894,B738
prc772671422,32.17820090617339,A320
prc772672693,150.63971010124666,A359
prc772677235,54.37807746617713,B738
prc772691926,24.457824038255872,A20N
prc772697103,459.8639238824962,B738
prc772704022,137.01809468230027,A20N
prc772707755,52.14918561054061,B738
prc772709971,47.998094712585996,A320
prc772714672,48.78164407152028,A320
prc772714801,120.52561229317911,B789
prc772718105,337.8951636184659,A332
prc772719938,64.2392166198407,A320
prc772732101,102.64933744719988,A20N
prc772735523,73.62817273919028,A359
prc772742534,80.26315672777322,A20N
prc772744179,535.3303709680647,A20N
prc772749709,201.23063759423178,A332
prc772752710,84.15162687405939,A20N
prc772775849,52.8485790510376,A20N
prc772777053,133.03177688272305,A320
prc772781394,100.10173218811002,A20N
prc772784596,121.21084721185962,A320
prc772785445,196.85716026554692,A20N
prc772794878,205.20225255798317,B788
prc772795418,210.9232236463696,A333
prc772807480,118.75721012256518,A320
